Genome	CheckM Completeness	CheckM Contamination	# tRNAs (AA)	16S rRNA	GTDB Taxonomy	dRep Species Cluster	station	depth	depth layer	latitude	longitude	size fraction	temperature (°C)	oxygen (µmol/kg)
TARA_SAMEA2621536_METAG_JKOGBKOH	98.21	1.79	17.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__GCA-002722245;g__;s__	3769_1	TARA_085	90.0	EPI	-62.2231	-49.2139	0.22-3	-0.7924	326.6803
TARA_SAMEA2621536_METAG_ECBGEDBK	96.58	0.0	17.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__;s__	4031_1	TARA_085	90.0	EPI	-62.2231	-49.2139	0.22-3	-0.7924	326.6803
TARA_SAMEA2621536_METAG_KLKANNOC	95.43	0.0	18.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__ASP10-05a;s__ASP10-05a sp000981645	3345_2	TARA_085	90.0	EPI	-62.2231	-49.2139	0.22-3	-0.7924	326.6803
TARA_SAMEA2621536_METAG_AMHKKGFA	90.86	0.0	18.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__UBA10364;s__UBA10364 sp003487785	4137_1	TARA_085	90.0	EPI	-62.2231	-49.2139	0.22-3	-0.7924	326.6803
TARA_SAMEA2621551_METAG_IBCCMGFG	92.94	4.14	21.0	1.0	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__;f__;g__;s__	290_0	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_KNGBNMOK	96.6	1.6	16.0	0.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Colwellia;s__Colwellia sp003545415	1804_1	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_ILCOJHCE	93.24	3.41	20.0	0.0	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__;g__;s__	405_0	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_BLBKBPAO	93.01	1.36	17.0	0.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__koll-22;g__GCA-002793235;s__	4092_0	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_OCNNGEFF	91.65	3.76	18.0	0.0	d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA8108;f__UBA8108;g__;s__	272_1	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
TARA_SAMEA2621551_METAG_MNJLJAEC	91.35	0.84	16.0	0.0	d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__UBA8110;s__UBA8110 sp002707655	267_1	TARA_085	790.0	MES	-61.9689	-49.5017	0.22-3	0.4568	203.7715
