genome	substrates
TARA_SAMEA2621536_METAG_AMHKKGFA	agarose, beta-glucan, exo-polysaccharide, human milk polysaccharide, carrageenan, host glycan, porphyran, glucosylglycerate, xyloglucan, glycogen, trehalose, polyphenol, peptidoglycan, sucrose, sialic acid, arabinogalactan protein, alpha-glucan, starch, chitin, xylan, pectin
TARA_SAMEA2621536_METAG_KLKANNOC	beta-glucuronan, agarose, beta-glucan, exo-polysaccharide, arabinan, human milk polysaccharide, carrageenan, host glycan, porphyran, glucosylglycerate, chitosan, xyloglucan, glycogen, trehalose, beta-mannan, polyphenol, peptidoglycan, sucrose, beta-galactan, alpha-mannan, arabinogalactan protein, alpha-glucan, starch, xylan, chitin, pectin
TARA_SAMEA2621536_METAG_JKOGBKOH	beta-glucan, exo-polysaccharide, human milk polysaccharide, host glycan, glucosylglycerate, chitosan, alpha-galactan, xyloglucan, fructan, glycogen, trehalose, cellulose, beta-mannan, peptidoglycan, sucrose, alpha-glucan, starch, xylan, chitin
TARA_SAMEA2621536_METAG_ECBGEDBK	beta-glucuronan, agarose, beta-glucan, exo-polysaccharide, arabinan, human milk polysaccharide, carrageenan, host glycan, porphyran, chitosan, xyloglucan, trehalose, beta-mannan, polyphenol, lignin, peptidoglycan, beta-galactan, alpha-mannan, arabinogalactan protein, chitin, xylan, pectin
TARA_SAMEA2620081_METAG_IKMDOJLD	peptidoglycan, starch, host glycan, arabinan, chitin, lignin, alpha-glucan, beta-glucan, glycogen, xyloglucan, xylan, glucosylglycerate, sucrose, trehalose, polyphenol, exo-polysaccharide
TARA_SAMEA2620081_METAG_LDLNNKOA	starch, arabinogalactan protein, lignin, sialic acid, alkaloid, glycogen, xylan, alpha-galactan, exo-polysaccharide, alginate, agarose, porphyran, chitin, xyloglucan, beta-mannan, alpha-mannan, beta-glucuronan, arabinan, alpha-glucan, glucosylglycerate, peptidoglycan, polyphenol, carrageenan, beta-galactan, beta-glucan, pectin, chitosan, sucrose, trehalose, host glycan
TARA_SAMEA2620081_METAG_LLGPNBFH	alpha-rhamnoside, starch, arabinogalactan protein, lignin, alkaloid, uric acid, glycogen, xylan, cellooligosaccharide, alpha-galactan, exo-polysaccharide, raffinose, cellulose, chitin, beta-mannan, xyloglucan, alpha-mannan, beta-glucuronan, beta-glycan, arabinan, glucooligosaccharide, glycolipid, alpha-glucan, polyphenol, beta-fucosides, glucosylglycerate, peptidoglycan, beta-galactan, chitooligosaccharide, beta-glucan, pectin, human milk polysaccharide, chitosan, sucrose, trehalose, host glycan
TARA_SAMEA2620081_METAG_CGDDMMPH	starch, lignin, glycogen, xylan, cellooligosaccharide, exo-polysaccharide, cellulose, host glycan, chitin, beta-mannan, xyloglucan, alpha-mannan, beta-glucuronan, arabinan, alpha-glucan, polyphenol, peptidoglycan, glucosylglycerate, beta-galactan, chitooligosaccharide, beta-glucan, pectin, chitosan, sucrose, trehalose, glucooligosaccharide
TARA_SAMEA2620097_METAG_ANBOPNIA	sucrose, lignin, host glycan, xylan, glycogen, glucosylglycerate, polyphenol, exo-polysaccharide, arabinan, peptidoglycan, starch, chitin, alpha-glucan, trehalose, xyloglucan, beta-glucan
TARA_SAMEA2620097_METAG_GCEMFKDB	alpha-rhamnoside, beta-mannan, starch, cellooligosaccharide, pectin, chitosan, glucooligosaccharide, fructan, beta-glucuronan, beta-galactan, exo-polysaccharide, peptidoglycan, chitin, alpha-mannan, beta-glucan, lignin, host glycan, human milk polysaccharide, xylan, polyphenol, arabinan, cellulose, chitooligosaccharide, trehalose, xyloglucan, sialic acid
